"Gender","Age","Education","Income","Income2","Occupation","State","Relationship.Status","Obligation","Obligation2","NEP","Vacation.Behaviour"
"Male",38,7,"$180,001 to $210,000",">120k","manager or administrator","NSW","married",2.93333333333333,"Q1",3.2,2.36666666666667
"Female",39,8,"$30,001 to $60,000","30-60k","professional","NSW","single",3.6,"Q2",3.66666666666667,3.36666666666667
"Male",22,3,"$120,001 to $150,000",">120k","Clerical or service worker","ACT","single",4.63333333333333,"Q4",4.4,3.86666666666667
"Male",48,8,NA,NA,"small business owner","QLD","married",3.3,"Q1",2.93333333333333,2.1
"Male",56,8,"$90,001 to $120,000","90-120k","manager or administrator","NSW","married",3.16666666666667,"Q1",3.13333333333333,2.23333333333333
"Male",70,8,"$60,001 to $90,000","60-90k","professional","NSW","living with a partner",4,"Q3",3.13333333333333,2.875
"Male",25,4,"$120,001 to $150,000",">120k","manager or administrator","NSW","single",2.26666666666667,"Q1",3.06666666666667,2.37931034482759
"Male",58,4,"$180,001 to $210,000",">120k","small business owner","NSW","married",3.23333333333333,"Q1",2.86666666666667,3
"Female",27,8,"$90,001 to $120,000","90-120k",NA,"NSW","living with a partner",3.93333333333333,"Q3",3.53333333333333,2.35294117647059
"Female",25,6,"$60,001 to $90,000","60-90k","professional","NSW","living with a partner",3.76666666666667,"Q2",4.2,3.71428571428571
"Male",38,3,"$90,001 to $120,000","90-120k","manager or administrator","QLD","living with a partner",3.73333333333333,"Q2",3.93333333333333,2.25
"Female",37,7,"$90,001 to $120,000","90-120k","manager or administrator","SA","living with a partner",3.4,"Q2",3.6,1.76666666666667
"Male",18,7,NA,NA,NA,"QLD","single",3.96666666666667,"Q3",3.73333333333333,3.15789473684211
"Male",35,7,"$120,001 to $150,000",">120k","professional","NSW","living with a partner",3.83333333333333,"Q3",3.6,2.77272727272727
"Female",36,7,"$90,001 to $120,000","90-120k","home-duties","NSW","married",3.86666666666667,"Q3",4.53333333333333,3.57142857142857
"Female",34,4,"$60,001 to $90,000","60-90k","Clerical or service worker","SA","married",3.2,"Q1",3.2,2.31578947368421
"Female",45,7,"$60,001 to $90,000","60-90k","professional","NSW","married",3.43333333333333,"Q2",3.46666666666667,2.5
"Male",69,2,"$30,001 to $60,000","30-60k","manager or administrator","NSW","separated or divorced",3.36666666666667,"Q1",4.33333333333333,3.07407407407407
"Male",28,6,"$60,001 to $90,000","60-90k","manager or administrator","NSW","living with a partner",3.63333333333333,"Q2",2.86666666666667,3.2
"Male",28,2,"$60,001 to $90,000","60-90k","manager or administrator","NSW","living with a partner",3.13333333333333,"Q1",3,2.65217391304348
"Female",32,3,"more than $240,001",">120k","manager or administrator","QLD","single",3.7,"Q2",3.66666666666667,3.57894736842105
"Male",46,6,"$30,001 to $60,000","30-60k","manager or administrator","NT","living with a partner",4.43333333333333,"Q4",4,3.82758620689655
"Male",20,7,"$30,001 to $60,000","30-60k","sales","VIC","single",3.83333333333333,"Q3",3.66666666666667,2.48275862068966
"Female",56,8,NA,NA,"professional","QLD","married",4.2,"Q3",4.2,3.61538461538462
"Male",57,8,"$60,001 to $90,000","60-90k","professional","VIC","separated or divorced",3.13333333333333,"Q1",2.8,4.44444444444444
"Male",64,6,"$30,001 to $60,000","30-60k","retired","NSW","separated or divorced",4.53333333333333,"Q4",4.13333333333333,3.73333333333333
"Female",23,7,NA,NA,"sales","NSW","living with a partner",3.83333333333333,"Q3",3.86666666666667,2.63333333333333
"Female",62,7,"$60,001 to $90,000","60-90k","Clerical or service worker","SA","living with a partner",3.8,"Q2",3.13333333333333,2.8
"Male",54,8,"$150,001 to $180,000",">120k","professional","QLD","married",3.53333333333333,"Q2",3.13333333333333,3.16
"Male",68,4,"Less than $30,000","<30k","retired","VIC","living with a partner",3.46666666666667,"Q2",3.93333333333333,3.03448275862069
"Female",55,2,"$90,001 to $120,000","90-120k","home-duties","NSW","married",3.83333333333333,"Q3",4.6,2.58620689655172
"Male",62,7,"$90,001 to $120,000","90-120k","professional","VIC","married",3.83333333333333,"Q3",4.46666666666667,3.28571428571429
"Female",51,7,"$30,001 to $60,000","30-60k","Clerical or service worker","ACT","living with a partner",1.73333333333333,"Q1",2.66666666666667,3
"Female",60,2,"$30,001 to $60,000","30-60k","home-duties","SA","living with a partner",4.33333333333333,"Q4",3.6,4.11764705882353
"Female",30,7,"$90,001 to $120,000","90-120k","professional","WA","married",3.56666666666667,"Q2",3.86666666666667,1.86666666666667
"Female",62,1,"Less than $30,000","<30k","home-duties","VIC","married",4.1,"Q3",4,3.71428571428571
"Male",48,1,NA,NA,"small business owner","NSW","married",3.5,"Q2",3.26666666666667,3.04545454545455
"Male",54,1,"$30,001 to $60,000","30-60k","transport worker","NSW","married",3.76666666666667,"Q2",3.93333333333333,2.56666666666667
"Female",34,2,"$90,001 to $120,000","90-120k","small business owner","NSW","married",3.33333333333333,"Q1",2.86666666666667,2.92592592592593
"Female",29,7,"$90,001 to $120,000","90-120k","professional","NSW","married",4.33333333333333,"Q4",3.86666666666667,2.39285714285714
"Male",66,NA,NA,NA,NA,"QLD","married",3.86666666666667,"Q3",3.8,2.625
"Female",58,4,"$120,001 to $150,000",">120k","retired","NSW","married",4.56666666666667,"Q4",3.8,3.06666666666667
"Male",36,3,"$60,001 to $90,000","60-90k","professional","WA","married",3.43333333333333,"Q2",3.6,3.32
"Male",28,6,"Less than $30,000","<30k","labourer","VIC","single",3,"Q1",3.4,3.8
"Male",55,6,"$30,001 to $60,000","30-60k","professional","NSW","separated or divorced",3.8,"Q2",3.53333333333333,1.55172413793103
"Female",36,3,"$90,001 to $120,000","90-120k","Clerical or service worker","VIC","living with a partner",4.46666666666667,"Q4",3.73333333333333,2.84615384615385
"Male",33,4,"Less than $30,000","<30k","manager or administrator","WA","single",3.33333333333333,"Q1",3.4,3.36363636363636
"Male",35,8,"more than $240,001",">120k","manager or administrator","VIC","single",4.06666666666667,"Q3",3.93333333333333,3.46666666666667
"Male",18,6,NA,NA,NA,"NSW","single",4,"Q3",2.8,2.63157894736842
"Male",65,6,"$30,001 to $60,000","30-60k","retired","VIC","married",4.2,"Q3",3.66666666666667,2.65384615384615
"Male",25,6,"$60,001 to $90,000","60-90k","labourer","NSW","married",4,"Q3",3.53333333333333,2.92857142857143
"Female",31,3,"$60,001 to $90,000","60-90k","small business owner","QLD","married",4.56666666666667,"Q4",3.8,3.47826086956522
"Female",37,2,"$60,001 to $90,000","60-90k","sales","QLD","married",4.2,"Q3",3.26666666666667,2.3
"Male",33,6,"$60,001 to $90,000","60-90k","professional","QLD","married",4.13333333333333,"Q3",3.8,2.73333333333333
"Male",59,NA,NA,NA,NA,"WA","married",3.8,"Q2",4.13333333333333,2.96666666666667
"Female",64,4,"Less than $30,000","<30k","transport worker","VIC","widowed",4.5,"Q4",3.2,3.08333333333333
"Female",35,6,"$30,001 to $60,000","30-60k","home-duties","WA","married",3.26666666666667,"Q1",2.66666666666667,2.13793103448276
"Male",37,2,"$60,001 to $90,000","60-90k","labourer","QLD","married",3.96666666666667,"Q3",3.4,3.21428571428571
"Male",76,NA,"$150,001 to $180,000",">120k","professional","Tas","married",3.3,"Q1",3.33333333333333,1.53333333333333
"Male",55,8,"$120,001 to $150,000",">120k","professional","VIC","married",3.16666666666667,"Q1",3.86666666666667,2.93333333333333
"Male",54,8,"$150,001 to $180,000",">120k","professional","NSW","living with a partner",4.5,"Q4",4.4,3.95833333333333
"Male",49,1,"$90,001 to $120,000","90-120k","manager or administrator","VIC","married",3.63333333333333,"Q2",3.33333333333333,2.3448275862069
"Female",55,7,"$90,001 to $120,000","90-120k","home-duties","VIC","married",3.26666666666667,"Q1",4,2.15
"Male",63,2,"$30,001 to $60,000","30-60k","retired","NSW","married",3.46666666666667,"Q2",3.33333333333333,2.15789473684211
"Female",69,4,"Less than $30,000","<30k","retired","VIC","widowed",3.76666666666667,"Q2",4,2.75862068965517
"Female",46,4,"Less than $30,000","<30k","professional","NSW","single",4.23333333333333,"Q4",4.26666666666667,4.125
"Female",61,2,"Less than $30,000","<30k","manager or administrator","NSW","separated or divorced",3.83333333333333,"Q3",3.06666666666667,3
"Male",28,7,"Less than $30,000","<30k","manager or administrator","NSW","living with a partner",3.73333333333333,"Q2",3.93333333333333,2.8
"Female",33,7,"$60,001 to $90,000","60-90k","professional","NSW","single",4.46666666666667,"Q4",3.8,3.26666666666667
"Female",30,3,"$60,001 to $90,000","60-90k","Clerical or service worker","VIC","married",3.6,"Q2",3.8,3.33333333333333
"Male",50,7,"$60,001 to $90,000","60-90k","professional","SA","single",4.03333333333333,"Q3",2.93333333333333,3.08
"Male",23,7,"$60,001 to $90,000","60-90k","professional","VIC","single",3.93333333333333,"Q3",4.13333333333333,2.37037037037037
"Female",58,1,"Less than $30,000","<30k","home-duties","NSW","separated or divorced",4.03333333333333,"Q3",3.06666666666667,1.73333333333333
"Female",35,8,"$60,001 to $90,000","60-90k","professional","WA","married",3.06666666666667,"Q1",3.46666666666667,NA
"Male",22,6,"$60,001 to $90,000","60-90k","sales","VIC","single",2.93333333333333,"Q1",2.33333333333333,2.65217391304348
"Male",39,3,"$60,001 to $90,000","60-90k","tradesperson","QLD","married",3.96666666666667,"Q3",3.93333333333333,2.86666666666667
"Female",35,3,"$30,001 to $60,000","30-60k","professional","NSW","living with a partner",4.2,"Q3",3.66666666666667,2.1
"Male",21,7,"$90,001 to $120,000","90-120k","sales","NSW","single",3.43333333333333,"Q2",4.13333333333333,2.14814814814815
"Male",62,8,"$60,001 to $90,000","60-90k","professional","VIC","married",3.63333333333333,"Q2",2.93333333333333,2.57142857142857
"Male",24,8,"$120,001 to $150,000",">120k","professional","NSW","single",3.26666666666667,"Q1",3.4,2.29411764705882
"Male",49,4,"$30,001 to $60,000","30-60k","Clerical or service worker","NSW","married",4.1,"Q3",3,3.57692307692308
"Female",41,1,"$30,001 to $60,000","30-60k","sales","SA","married",4.13333333333333,"Q3",4.33333333333333,3.17241379310345
"Male",21,6,"$30,001 to $60,000","30-60k","unemployed","NSW","single",3.6,"Q2",4.06666666666667,2.92857142857143
"Male",37,6,"$60,001 to $90,000","60-90k","labourer","SA","married",1,"Q1",5,2.03333333333333
"Female",28,6,"$60,001 to $90,000","60-90k","professional","ACT","married",3.96666666666667,"Q3",3.33333333333333,2.3
"Male",59,8,"$150,001 to $180,000",">120k","professional","SA","single",3.86666666666667,"Q3",3.6,1.85185185185185
"Male",37,7,"$150,001 to $180,000",">120k","manager or administrator","NSW","married",3.66666666666667,"Q2",3.73333333333333,2.72727272727273
"Female",31,6,"$60,001 to $90,000","60-90k","Clerical or service worker","NSW","married",3.93333333333333,"Q3",4.26666666666667,3.22727272727273
"Male",59,6,"$30,001 to $60,000","30-60k","retired","NSW","married",4.06666666666667,"Q3",3.4,3.25
"Female",42,3,"$30,001 to $60,000","30-60k","Clerical or service worker","WA","married",3.13333333333333,"Q1",3.26666666666667,2.54166666666667
"Female",52,2,"$30,001 to $60,000","30-60k","small business owner","ACT","married",4.1,"Q3",4.2,2.71428571428571
"Female",61,1,"Less than $30,000","<30k","labourer","WA","separated or divorced",4.73333333333333,"Q4",4.6,3.875
"Female",60,3,"Less than $30,000","<30k","home-duties","SA","married",4.36666666666667,"Q4",4.2,3.88888888888889
"Male",30,7,"$60,001 to $90,000","60-90k","professional","WA","married",3.83333333333333,"Q3",3.2,2.79310344827586
"Female",35,7,"$30,001 to $60,000","30-60k","sales","VIC","single",2.26666666666667,"Q1",3.26666666666667,2.34615384615385
"Male",39,7,"$30,001 to $60,000","30-60k","professional","WA","single",3.06666666666667,"Q1",4.06666666666667,2.41666666666667
"Male",36,8,"$90,001 to $120,000","90-120k","manager or administrator","WA","married",2,"Q1",2.46666666666667,1.6
"Male",25,7,"$60,001 to $90,000","60-90k","professional","NSW","married",3.9,"Q3",4.33333333333333,3.03333333333333
"Female",31,1,"Less than $30,000","<30k","home-duties","VIC","living with a partner",4.3,"Q4",3.4,3
"Male",35,8,"$60,001 to $90,000","60-90k","professional","QLD","married",3.76666666666667,"Q2",3.6,1.83333333333333
"Male",40,8,"$60,001 to $90,000","60-90k","professional","QLD","married",4.1,"Q3",3.93333333333333,2.86666666666667
"Male",58,1,"Less than $30,000","<30k","retired","QLD","married",4.96666666666667,"Q4",4.26666666666667,3.67857142857143
"Female",65,3,"Less than $30,000","<30k","retired","NSW","married",2.56666666666667,"Q1",4.46666666666667,2
"Male",59,4,"$210,001 to $240,000",">120k","manager or administrator","NSW","married",2.8,"Q1",2.6,2.22222222222222
"Female",41,3,"$60,001 to $90,000","60-90k","home-duties","QLD","married",3.53333333333333,"Q2",3.4,3
"Female",45,1,"$30,001 to $60,000","30-60k","home-duties","SA","separated or divorced",4.23333333333333,"Q4",4.06666666666667,3.5
"Female",49,1,"$60,001 to $90,000","60-90k","sales","WA","living with a partner",3.66666666666667,"Q2",3.46666666666667,NA
"Female",23,7,"$60,001 to $90,000","60-90k","professional","WA","living with a partner",2.8,"Q1",2.26666666666667,1.96666666666667
"Male",58,7,"$30,001 to $60,000","30-60k","small business owner","NSW","separated or divorced",3.46666666666667,"Q2",3.33333333333333,2.3
"Female",61,1,"$30,001 to $60,000","30-60k","home-duties","QLD","married",4.03333333333333,"Q3",3.6,3.68965517241379
"Female",40,4,"$90,001 to $120,000","90-120k","professional","VIC","living with a partner",4.1,"Q3",3.13333333333333,3.94736842105263
"Female",33,2,"$30,001 to $60,000","30-60k","unemployed","NSW","married",5,"Q4",2.53333333333333,3.63333333333333
"Male",59,1,"$30,001 to $60,000","30-60k","retired","QLD","married",3.1,"Q1",2.93333333333333,2.83333333333333
"Male",54,7,"$120,001 to $150,000",">120k","manager or administrator","VIC","married",4.3,"Q4",4.13333333333333,3.26086956521739
"Male",27,7,"$60,001 to $90,000","60-90k","manager or administrator","Tas","single",2.7,"Q1",2.26666666666667,3.26086956521739
"Male",41,8,"$90,001 to $120,000","90-120k","sales","VIC","married",3.13333333333333,"Q1",3.06666666666667,2.36666666666667
"Female",32,7,"$30,001 to $60,000","30-60k","home-duties","NSW","married",3.63333333333333,"Q2",4.06666666666667,2.68
"Female",41,8,"$30,001 to $60,000","30-60k","professional","VIC","single",4.16666666666667,"Q3",4.66666666666667,4.19047619047619
"Male",50,7,"$30,001 to $60,000","30-60k","Clerical or service worker","NSW","married",4.13333333333333,"Q3",3.53333333333333,2.875
"Male",21,7,"$60,001 to $90,000","60-90k","sales","VIC","single",3.8,"Q2",3.8,2.27586206896552
"Male",45,6,"$90,001 to $120,000","90-120k","transport worker","QLD","married",4.03333333333333,"Q3",3.66666666666667,2.69565217391304
"Male",71,1,"Less than $30,000","<30k","retired","Tas","living with a partner",3.8,"Q2",3,2.5
"Male",37,8,"$30,001 to $60,000","30-60k","professional","NSW","married",3.96666666666667,"Q3",3.86666666666667,4.19047619047619
"Female",40,2,"$90,001 to $120,000","90-120k","Clerical or service worker","NSW","married",3.33333333333333,"Q1",3.86666666666667,2.21428571428571
"Female",46,4,"$60,001 to $90,000","60-90k","small business owner","NSW","married",3.26666666666667,"Q1",3.53333333333333,2.68421052631579
"Female",55,2,"$30,001 to $60,000","30-60k","Clerical or service worker","QLD","married",3.7,"Q2",4.2,4.07142857142857
"Male",60,2,"Less than $30,000","<30k","retired","VIC","married",3.6,"Q2",4.13333333333333,3.3448275862069
"Male",37,1,"$90,001 to $120,000","90-120k","professional","VIC",NA,2.43333333333333,"Q1",3.13333333333333,2.2
"Male",56,8,"$60,001 to $90,000","60-90k","Clerical or service worker","WA","married",4.03333333333333,"Q3",4.26666666666667,3.66666666666667
"Female",56,6,"$90,001 to $120,000","90-120k","Clerical or service worker","QLD","married",4.4,"Q4",4.46666666666667,3.43333333333333
"Female",36,1,"$60,001 to $90,000","60-90k","Clerical or service worker","VIC","living with a partner",4.26666666666667,"Q4",4.06666666666667,3.85714285714286
"Female",36,6,"Less than $30,000","<30k","professional","NSW","separated or divorced",3.63333333333333,"Q2",3.6,3.25
"Male",52,2,"$90,001 to $120,000","90-120k","small business owner","NSW","married",3.66666666666667,"Q2",3.33333333333333,1.93333333333333
"Female",63,6,"$30,001 to $60,000","30-60k","sales","QLD","separated or divorced",4.23333333333333,"Q4",3.46666666666667,3.03846153846154
"Female",58,1,"Less than $30,000","<30k","Clerical or service worker","VIC","separated or divorced",4,"Q3",4.33333333333333,2.46666666666667
"Male",62,3,"$30,001 to $60,000","30-60k","transport worker","QLD","married",4.33333333333333,"Q4",4.86666666666667,3.48275862068966
"Female",59,2,"$30,001 to $60,000","30-60k","home-duties","NSW","separated or divorced",3.3,"Q1",4.26666666666667,NA
"Female",38,2,"Less than $30,000","<30k","home-duties","VIC","separated or divorced",4.4,"Q4",4.13333333333333,4.46666666666667
"Female",42,1,"Less than $30,000","<30k","home-duties","QLD","married",4.13333333333333,"Q3",3.4,4.4
"Male",39,4,"$150,001 to $180,000",">120k","professional","NSW","single",4.96666666666667,"Q4",4.26666666666667,2.81818181818182
"Female",58,8,"$60,001 to $90,000","60-90k","manager or administrator","QLD","separated or divorced",4.3,"Q4",4.26666666666667,2.58620689655172
"Male",46,8,"$150,001 to $180,000",">120k","manager or administrator","NSW","married",4,"Q3",4.06666666666667,2.62962962962963
"Male",55,7,"$60,001 to $90,000","60-90k","professional","WA","separated or divorced",4.36666666666667,"Q4",4.46666666666667,3.16666666666667
"Male",36,8,"$30,001 to $60,000","30-60k","unemployed","WA","living with a partner",1,"Q1",3.8,2.11764705882353
"Male",60,8,"$90,001 to $120,000","90-120k","manager or administrator","NSW","married",4.33333333333333,"Q4",3.73333333333333,2.93103448275862
"Female",41,6,"$30,001 to $60,000","30-60k","home-duties","NSW","married",4,"Q3",3.4,4.54545454545455
"Female",41,1,"$60,001 to $90,000","60-90k","home-duties","QLD","married",4.06666666666667,"Q3",4.06666666666667,3.53333333333333
"Female",36,3,"$60,001 to $90,000","60-90k","Clerical or service worker","QLD","married",4.23333333333333,"Q4",3.93333333333333,3.48148148148148
"Female",55,2,"Less than $30,000","<30k","retired","QLD","separated or divorced",4.6,"Q4",4.2,3.85185185185185
"Male",21,7,"$30,001 to $60,000","30-60k","unemployed","NSW","single",3.33333333333333,"Q1",2.33333333333333,2.26086956521739
"Female",44,6,"$30,001 to $60,000","30-60k","manager or administrator","WA","single",3.8,"Q2",3.66666666666667,3.625
"Female",55,8,"$120,001 to $150,000",">120k","home-duties","NSW","married",3.3,"Q1",3.06666666666667,2.63333333333333
"Female",61,8,"$120,001 to $150,000",">120k","professional","VIC","married",3.63333333333333,"Q2",4.26666666666667,3.44444444444444
"Female",38,7,NA,NA,"Clerical or service worker","NSW","married",3.93333333333333,"Q3",4.73333333333333,3.3
"Female",61,7,"$60,001 to $90,000","60-90k","professional","NSW","single",4.46666666666667,"Q4",3.4,3.75
"Male",64,8,"$90,001 to $120,000","90-120k","professional","QLD","married",3.73333333333333,"Q2",2.66666666666667,2.86666666666667
"Female",59,2,"$60,001 to $90,000","60-90k",NA,"NSW","married",4.3,"Q4",3.66666666666667,3.14285714285714
"Female",38,1,"$60,001 to $90,000","60-90k","labourer","VIC","married",3.5,"Q2",4.4,3
"Male",21,7,"$180,001 to $210,000",">120k","professional","NSW","single",3.8,"Q2",3.6,3.07692307692308
"Female",60,4,"$90,001 to $120,000","90-120k","professional","SA","married",3.5,"Q2",3.53333333333333,2.58333333333333
"Female",58,3,"$30,001 to $60,000","30-60k","home-duties","VIC","married",3.9,"Q3",3.6,3.25
"Female",74,1,"$30,001 to $60,000","30-60k","sales","NSW","married",2.66666666666667,"Q1",3.73333333333333,1.93333333333333
"Female",58,1,"Less than $30,000","<30k","retired","VIC","single",3.93333333333333,"Q3",4.33333333333333,2.76190476190476
"Male",45,2,"$30,001 to $60,000","30-60k","manager or administrator","VIC","married",3.56666666666667,"Q2",3.26666666666667,2.76666666666667
"Female",39,3,"$120,001 to $150,000",">120k","manager or administrator","NSW","married",3.7,"Q2",2.86666666666667,3
"Male",57,3,"$30,001 to $60,000","30-60k","Clerical or service worker","NSW","married",2.56666666666667,"Q1",2.26666666666667,1.75862068965517
"Female",39,7,"$120,001 to $150,000",">120k","manager or administrator","NSW","single",4.76666666666667,"Q4",4.53333333333333,4.53333333333333
"Female",84,2,NA,NA,"Clerical or service worker","VIC","married",3.13333333333333,"Q1",3,2.94444444444444
"Male",27,7,"$120,001 to $150,000",">120k","professional","NSW","married",4.43333333333333,"Q4",3.93333333333333,3.72727272727273
"Male",47,3,"$30,001 to $60,000","30-60k",NA,"NSW","married",3.63333333333333,"Q2",3.06666666666667,2.06896551724138
"Female",24,3,"$30,001 to $60,000","30-60k","home-duties","VIC","married",4.43333333333333,"Q4",3.33333333333333,1.93103448275862
"Female",60,4,NA,NA,"home-duties","VIC","single",4.43333333333333,"Q4",3.33333333333333,3
"Male",21,2,"$30,001 to $60,000","30-60k","manager or administrator","NSW","single",3.53333333333333,"Q2",3.46666666666667,2.2
"Male",55,6,"$30,001 to $60,000","30-60k","retired","NSW","married",3.83333333333333,"Q3",4.06666666666667,3.58333333333333
"Male",23,6,"$120,001 to $150,000",">120k","manager or administrator","NSW","single",3.03333333333333,"Q1",3.73333333333333,1.96666666666667
"Female",61,1,NA,NA,"home-duties","QLD","married",3.76666666666667,"Q2",3.46666666666667,2.85714285714286
"Male",60,1,"$30,001 to $60,000","30-60k","small business owner","QLD","married",3.93333333333333,"Q3",3.4,3.4
"Female",55,1,"Less than $30,000","<30k","home-duties","QLD","married",3.96666666666667,"Q3",4.13333333333333,3.05555555555556
"Male",29,7,"$30,001 to $60,000","30-60k","professional","NSW","single",3.4,"Q2",3.26666666666667,2.47826086956522
"Male",59,8,"$180,001 to $210,000",">120k","retired","WA","living with a partner",4.23333333333333,"Q4",5,3.83333333333333
"Female",49,6,"$30,001 to $60,000","30-60k","Clerical or service worker","WA","married",3.73333333333333,"Q2",3.6,2.69230769230769
"Male",22,6,"$60,001 to $90,000","60-90k","professional","SA","living with a partner",3.1,"Q1",2.53333333333333,2.23333333333333
"Female",61,8,"$30,001 to $60,000","30-60k","Clerical or service worker","VIC","single",2.73333333333333,"Q1",2.93333333333333,2.31818181818182
"Female",40,2,"$60,001 to $90,000","60-90k","manager or administrator","NSW","married",3.36666666666667,"Q1",3.26666666666667,1.96551724137931
"Male",52,2,"Less than $30,000","<30k","transport worker","SA","separated or divorced",4.03333333333333,"Q3",4.2,3.66666666666667
"Female",27,8,"$90,001 to $120,000","90-120k","professional","NSW","married",3.86666666666667,"Q3",3.13333333333333,3
"Male",56,7,"$90,001 to $120,000","90-120k","professional","NSW","married",2,"Q1",3,2.4
"Female",43,7,"$180,001 to $210,000",">120k","manager or administrator","NSW","living with a partner",3.53333333333333,"Q2",3.06666666666667,NA
"Male",41,7,"$210,001 to $240,000",">120k","professional","NSW","married",3.5,"Q2",3.4,2.73076923076923
"Male",29,7,"Less than $30,000","<30k","professional","NSW","single",3.06666666666667,"Q1",4.2,2.54545454545455
"Female",25,6,"$30,001 to $60,000","30-60k","tradesperson","VIC","single",4.8,"Q4",3.46666666666667,3.23333333333333
"Male",35,8,"$60,001 to $90,000","60-90k","manager or administrator","QLD","married",4.23333333333333,"Q4",3.8,2.29166666666667
"Female",59,1,"$30,001 to $60,000","30-60k",NA,"VIC","married",4.23333333333333,"Q4",3.73333333333333,3.57142857142857
"Male",27,3,NA,NA,"Clerical or service worker","VIC","single",4,"Q3",3.06666666666667,2.96666666666667
"Male",42,6,"$90,001 to $120,000","90-120k","professional","SA","married",4.76666666666667,"Q4",3.2,4.2
"Female",63,3,"Less than $30,000","<30k","retired","WA","separated or divorced",3.16666666666667,"Q1",4.06666666666667,3.04545454545455
"Male",47,7,"more than $240,001",">120k","manager or administrator","NSW","living with a partner",2.7,"Q1",2.73333333333333,3.10344827586207
